% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
1.81051778e+06  -3.7563e+01  9.4421e+01  -8.6290e+01  -1.6657e+02
1.79302260e+06  -3.8343e+01  1.1264e+02  -9.1839e+01  1.0301e+02
1.77569649e+06  -3.7858e+01  1.5519e+02  -8.4204e+01  3.2191e+01
1.75853779e+06  -3.6897e+01  -1.7158e+02  -9.1639e+01  -8.6852e+00
1.74154490e+06  -4.2069e+01  -1.4177e+02  -8.9994e+01  3.7480e+01
1.72471622e+06  -4.3645e+01  -1.5886e+02  -8.7295e+01  -1.1386e+02
1.70805015e+06  -3.8562e+01  -1.5234e+02  -8.8829e+01  1.4254e+02
1.69154512e+06  -3.6182e+01  -1.0680e+02  -9.0164e+01  8.2438e+01
1.67519959e+06  -3.5981e+01  -6.5000e+01  -9.2048e+01  1.0795e+02
1.65901200e+06  -3.5918e+01  -2.6118e+01  -1.0113e+02  3.5342e+01
1.64298084e+06  -3.5354e+01  8.5632e+00  -9.2102e+01  4.2439e+01
1.62710459e+06  -3.9280e+01  5.0252e+01  -9.2102e+01  1.3142e+02
1.61138175e+06  -3.5844e+01  9.4700e+01  -7.9332e+01  -1.0207e+02
1.59581084e+06  -3.6546e+01  1.5605e+02  -8.9401e+01  4.7826e+01
1.58039039e+06  -3.7228e+01  -1.5097e+02  -9.1839e+01  -3.7558e+01
1.56511895e+06  -3.7514e+01  -1.2347e+02  -8.7051e+01  -7.9144e+01
1.54999509e+06  -3.4540e+01  -8.7286e+01  -9.6983e+01  2.1192e+01
1.53501736e+06  -3.1324e+01  -6.0046e+01  -9.5005e+01  -1.3242e+02
1.52018437e+06  -2.8962e+01  -2.1329e+01  -8.6983e+01  -5.2294e+01
1.50549471e+06  -2.6898e+01  8.8503e+00  -9.4601e+01  3.3579e+01
1.49094699e+06  -2.5861e+01  5.3381e+01  -8.7870e+01  -9.8688e+00
1.47653985e+06  -2.6758e+01  8.2966e+01  -8.2441e+01  -6.7749e+01
1.46227193e+06  -2.7440e+01  1.0812e+02  -8.6164e+01  -1.5938e+02
1.44814188e+06  -2.8456e+01  1.3933e+02  -8.0843e+01  6.9890e+01
1.43414837e+06  -2.8908e+01  1.3553e+02  -8.1639e+01  -1.2714e+02
1.42029008e+06  -2.7637e+01  1.6168e+02  -9.3280e+01  1.4172e+02
1.40656571e+06  -2.6588e+01  1.7511e+02  -8.2732e+01  -8.1071e+00
1.39297395e+06  -2.5167e+01  -1.5686e+02  -8.5451e+01  6.1866e+01
1.37951354e+06  -2.6692e+01  -1.3693e+02  -9.1221e+01  1.3390e+02
1.36618319e+06  -2.4740e+01  -1.1404e+02  -8.3890e+01  -1.7947e+02
1.35298165e+06  -2.3734e+01  -7.7219e+01  -8.7241e+01  -1.5625e+02
1.33990768e+06  -3.1180e+01  -1.4354e+01  -9.5451e+01  7.6881e+01
1.32696005e+06  -2.9477e+01  -1.4772e+02  -9.1839e+01  1.2611e+02
1.31413753e+06  -2.3572e+01  -9.3005e+01  -8.7953e+01  5.0993e+01
1.30143892e+06  -2.1141e+01  -5.8931e+01  -8.6290e+01  1.7494e+01
1.28886301e+06  -2.2828e+01  -3.6477e+01  -8.5178e+01  1.2397e+02
1.27640862e+06  -1.9899e+01  -1.2200e+01  -9.1221e+01  1.2725e+02
1.26407459e+06  -2.1590e+01  3.7107e+01  -8.4303e+01  1.1153e+02
1.25185973e+06  -2.7418e+01  5.3837e+01  -9.0164e+01  1.6036e+02
1.23976291e+06  -3.2253e+01  2.5975e+01  -9.4231e+01  1.6989e+02
1.22778299e+06  -3.4689e+01  9.0866e+00  -8.9549e+01  -1.0882e+01
1.21591882e+06  -2.2242e+01  -1.1646e+01  -8.6539e+01  -1.4665e+02
1.20416930e+06  -1.7476e+01  2.7036e+01  -9.0164e+01  1.4162e+01
1.19253332e+06  -1.5700e+01  7.4999e+01  -8.5656e+01  -7.7952e+01
1.18100978e+06  -1.7300e+01  8.9823e+01  -1.0210e+02  -5.8896e+01
1.16959759e+06  -1.5593e+01  1.0685e+02  -8.3769e+01  6.5503e+01
1.15829567e+06  -1.4915e+01  1.2260e+02  -9.5005e+01  1.1330e+02
1.14710297e+06  -1.2073e+01  1.4542e+02  -8.2808e+01  1.3145e+02
1.13601842e+06  -1.0059e+01  -1.7432e+02  -1.0113e+02  -8.8360e+01
1.12504099e+06  -9.9491e+00  -1.3701e+02  -1.0414e+02  1.3593e+02
1.11416963e+06  -1.2627e+01  -9.1712e+01  -8.9430e+01  6.2335e+01
1.10340332e+06  -1.6971e+01  -7.0022e+01  -8.6510e+01  6.7737e+01
1.09274105e+06  -2.6699e+01  -6.8002e+01  -8.8189e+01  -1.0550e+02
1.08218180e+06  -2.1660e+01  -7.4677e+01  -8.5618e+01  3.7730e+01
1.07172459e+06  -2.1155e+01  -3.6398e+01  -8.2441e+01  1.4196e+02
1.06136844e+06  -2.5826e+01  -2.1543e+01  -9.0451e+01  1.0208e+02
1.05111235e+06  -2.6140e+01  4.3745e+01  -8.9798e+01  -1.4323e+02
1.04095537e+06  -1.8346e+01  1.1725e+02  -9.2500e+01  1.3652e+02
1.03089653e+06  -1.9845e+01  -1.3925e+02  -8.2827e+01  6.8634e+01
1.02093490e+06  -1.9447e+01  1.7318e+02  -8.0306e+01  -1.3265e+02
1.01106952e+06  -1.1826e+01  -1.6983e+02  -9.0451e+01  9.8843e+01
1.00129948e+06  -3.9224e+00  -1.1777e+02  -8.5908e+01  -1.2494e+02
9.91623843e+05  -3.4955e+00  -5.3060e+01  -8.6290e+01  1.3027e+02
